N,SV_RL,SV_LL,SV_full_RL,SV_full_LL
0.0,2128.5267211681353,2287.847971501423,11919.162820740954,11785.961953341583
1.0294117647058822,506.3633408815767,708.971692133521,3499.974374636945,6354.144161492557
2.0588235294117645,438.0545698557159,551.8091309861724,2679.7357464452307,2523.377715073332
3.0882352941176467,393.2453002229619,524.432353975533,1079.729076615966,2291.2295071677468
4.117647058823529,326.57854619433556,385.01918232178235,698.3263130703958,1873.9545772471974
5.147058823529411,299.61980796357324,352.3376473300475,627.1901559207594,1018.7908971504362
6.1764705882352935,246.49275093343238,324.5529404439127,440.11860765108605,906.4822525869334
7.205882352941176,225.90638967705507,294.62098984108525,379.5864238130199,576.1064410134234
8.235294117647058,208.83820071696942,260.36419316736965,299.12560893822746,443.42217026555585
9.26470588235294,199.60808858781786,241.53180169062486,284.0573478892494,379.14342580844686
10.294117647058822,189.94869112138096,209.00879081914496,243.7496619691596,319.58918418561126
11.323529411764705,162.03251598245794,197.30411844468986,211.5769357112258,283.50374960599106
12.352941176470587,151.04797176804405,194.20305427212267,203.9264381868591,260.5158453951992
13.38235294117647,135.65362194621983,183.34112569991404,170.374315078402,241.11717556058622
14.411764705882351,125.47654792506795,168.3161937982862,165.60658014036184,206.1170549618227
15.441176470588234,120.51226593769381,147.73156243816376,146.39885343618056,187.7226352836186
16.470588235294116,115.25675933812602,139.68402436243016,130.48926090858816,182.49748883781544
17.5,110.53873702639308,134.473518995883,127.23950148874765,150.76526280780445
18.52941176470588,105.1388915851182,123.24530883537172,116.78477698246543,147.62255449467247
19.55882352941176,96.87753769833337,115.65753923284888,106.92377947239598,143.80778112889274
20.588235294117645,92.97920813618725,109.19201867378175,100.95635772183834,133.37789850162682
21.61764705882353,87.97359109612549,106.43248337738979,94.056292955433,123.79258883512912
22.64705882352941,85.94757926807247,100.04136572319864,91.88254893300486,120.27219399902931
23.67647058823529,80.64399399168096,88.61643708817134,90.6986709752981,113.11150902894322
24.705882352941174,77.0894714192103,85.60929791486049,84.93016295165802,107.43272773712866
25.735294117647058,72.8476581224372,82.96935454749861,79.93470451776894,102.54897824707801
26.76470588235294,69.60316212511529,79.49528871040722,75.82595574057015,96.9264251601782
27.79411764705882,68.27129004229866,71.17383677899673,74.31345577437484,85.79050087647784
28.823529411764703,63.74255010304698,69.48808598237625,70.95510378022779,80.81346928667975
29.852941176470587,57.83624692002761,65.98041309455562,62.45785102187872,77.15287452308131
30.882352941176467,54.50144400626111,58.80087067081996,60.49337590739585,72.34158407007939
31.911764705882348,52.606134258629034,55.94575329959661,57.44721296427377,65.61828779870632
32.94117647058823,51.0193777619102,50.49664845581621,55.84369868690753,64.19365772145142
33.970588235294116,47.44057143889149,49.002167039779216,53.86221264116458,60.3434273622765
35.0,44.15036189917483,46.24713213086733,46.75737728745174,51.94688629635935
